"AÑO","NAME","CANTIDAD"
1983,Sterna albifrons                             ,2
2019,Streptopelia turtur                          ,1
2006,Petronia petronia                            ,1
2015,Erithacus rubecula                           ,29
2013,Ficedula hypoleuca                           ,1
1985,Acrocephalus melanopogon                     ,74
1985,Hippolais pallida                            ,1
1990,Hippolais polyglotta                         ,11
1990,Locustella luscinioides                      ,14
1993,Cisticola juncidis                           ,12
1985,Hydrobates pelagicus                         ,1
1991,Loxia curvirostra                            ,2
2000,Passer montanus                              ,51
2001,Phoenicurus ochruros                         ,11
2002,Erithacus rubecula                           ,95
1994,Monticola saxatilis                          ,1
2007,Cinclus cinclus                              ,1
2000,Gallinula chloropus                          ,2
2002,Luscinia svecica                             ,44
2006,Luscinia svecica                             ,70
1986,Remiz pendulinus                             ,2
1990,Sylvia communis                              ,71
1999,Anilla destruida o perdida                   ,2
1991,Sylvia borin                                 ,92
1990,Saxicola torquata rubicola                   ,1
1996,Troglodytes troglodytes                      ,1
1985,Emberiza hortulana                           ,3
1989,Lanius collurio                              ,2
1996,Fringilla montifringilla                     ,2
1989,Bubulcus ibis                                ,54
1997,Anilla destruida o perdida                   ,3
1991,Pernis apivorus                              ,1
2014,Parus cristatus                              ,5
1989,Phylloscopus collybita abietinus             ,1
1990,Motacilla alba                               ,39
1994,Acrocephalus scirpaceus                      ,46
1989,Lanius senator                               ,13
1998,Luscinia megarhynchos                        ,1
2002,Parus major                                  ,86
2001,Miliaria calandra                            ,1
1991,Sterna hirundo                               ,12
1988,Ixobrychus minutus                           ,1
2005,Athene noctua                                ,23
2003,Bubulcus ibis                                ,111
1994,Fulica atra                                  ,2
1997,Ardea purpurea                               ,2
2005,Sylvia communis                              ,2
1984,Hirundo rustica                              ,1
2020,Acrocephalus arundinaceus                    ,21
2006,Loxia curvirostra                            ,7
2016,Passer montanus                              ,14
2015,Riparia riparia                              ,158
2018,Sylvia cantillans                            ,2
1986,Sylvia undata                                ,4
2000,Carduelis cannabina                          ,139
1991,Locustella luscinioides                      ,2
2000,Phoenicurus ochruros                         ,18
1999,Phylloscopus trochilus                       ,12
1992,Luscinia megarhynchos                        ,41
1997,Passer domesticus                            ,129
2003,Caprimulgus ruficollis                       ,3
2005,Emberiza cia                                 ,7
2004,Euplectes oryx                               ,1
2005,Charadrius dubius                            ,6
1999,Alcedo atthis                                ,18
2000,Jynx torquilla                               ,3
1994,Parus major                                  ,9
1983,Phoenicurus ochruros                         ,166
1994,Loxia curvirostra                            ,2
1994,Sturnus vulgaris                             ,8
2000,Ixobrychus minutus                           ,11
2000,Tyto alba                                    ,1
2009,Luscinia svecica                             ,116
2009,Fringilla montifringilla                     ,2
1984,Passer domesticus                            ,17
2001,Charadrius dubius                            ,3
2015,Sturnus vulgaris                             ,1
2016,Motacilla alba                               ,46
2014,Carduelis spinus                             ,1
2017,Parus caeruleus                              ,2
2000,Acrocephalus melanopogon                     ,48
1991,Riparia riparia                              ,10
1986,Motacilla alba                               ,3
1995,Anthus pratensis                             ,1
2000,Emberiza cia                                 ,80
2000,Motacilla flava                              ,129
1994,Falco eleonorae                              ,15
2005,Tyto alba                                    ,1
1993,Buteo buteo                                  ,8
1994,Pernis apivorus                              ,1
2007,Cisticola juncidis                           ,26
1999,Delichon urbica                              ,3
2006,Sturnus unicolor                             ,20
2020,Turdus merula                                ,36
2012,Streptopelia turtur                          ,1
2017,Aegithalos caudatus                          ,10
2016,Anilla destruida o perdida                   ,1
2013,Charadrius dubius                            ,38
1987,Erithacus rubecula                           ,247
1988,Phylloscopus collybita                       ,807
1992,Passer montanus                              ,17
